Line,Station Name,Stop_Order
Red,Shaheed Sthal (New Bus Adda),1
Red,Hindon River,2
Red,Arthala,3
Red,Mohan Nagar,4
Red,Shyam Park,5
Red,Major Mohit Sharma Rajendra Nagar,6
Red,Raj Bagh,7
Red,Shaheed Nagar,8
Red,Dilshad Garden,9
Red,Jhilmil,10
Red,Mansarovar Park,11
Red,Shahdara,12
Red,Welcome,13
Red,Seelampur,14
Red,Shastri Park,15
Red,Kashmere Gate,16
Red,Tis Hazari,17
Red,Pulbangash,18
Red,Pratap Nagar,19
Red,Shastri Nagar,20
Red,Inderlok,21
Red,Kanhaiya Nagar,22
Red,Keshav Puram,23
Red,Netaji Subhash Place,24
Red,Kohat Enclave,25
Red,Pitampura,26
Red,Rohini East,27
Red,Rohini West,28
Red,Rithala,29
Yellow,Samaypur Badli,1
Yellow,Rohini Sector 18-19,2
Yellow,Haiderpur Badli Mor,3
Yellow,Jahangirpuri,4
Yellow,Adarsh Nagar,5
Yellow,Azadpur,6
Yellow,Model Town,7
Yellow,GTB Nagar,8
Yellow,Vishwavidyalaya,9
Yellow,Vidhan Sabha,10
Yellow,Civil Lines,11
Yellow,Kashmere Gate,12
Yellow,Chandni Chowk,13
Yellow,Chawri Bazar,14
Yellow,New Delhi,15
Yellow,Rajiv Chowk,16
Yellow,Patel Chowk,17
Yellow,Central Secretariat,18
Yellow,Udyog Bhawan,19
Yellow,Race Course,20
Yellow,Jorbagh,21
Yellow,INA,22
Yellow,AIIMS,23
Yellow,Green Park,24
Yellow,Hauz Khas,25
Yellow,Malviya Nagar,26
Yellow,Saket,27
Yellow,Qutab Minar,28
Yellow,Chattarpur,29
Yellow,Sultanpur,30
Yellow,Ghitorni,31
Yellow,Arjan Garh,32
Yellow,Guru Dronacharya,33
Yellow,Sikandarpur,34
Yellow,MG Road,35
Yellow,IFFCO Chowk,36
Yellow,Huda City Centre,37
Blue,Dwarka Sector 21,1
Blue,Dwarka Sector 8,2
Blue,Dwarka Sector 9,3
Blue,Dwarka Sector 10,4
Blue,Dwarka Sector 11,5
Blue,Dwarka Sector 12,6
Blue,Dwarka Sector 13,7
Blue,Dwarka Sector 14,8
Blue,Dwarka,9
Blue,Dwarka Mor,10
Blue,Nawada,11
Blue,Uttam Nagar West,12
Blue,Uttam Nagar East,13
Blue,Janakpuri West,14
Blue,Janakpuri East,15
Blue,Tilak Nagar,16
Blue,Subhash Nagar,17
Blue,Tagore Garden,18
Blue,Rajouri Garden,19
Blue,Ramesh Nagar,20
Blue,Moti Nagar,21
Blue,Kirti Nagar,22
Blue,Shadipur,23
Blue,Patel Nagar,24
Blue,Rajendra Place,25
Blue,Karol Bagh,26
Blue,Jhandewalan,27
Blue,Ramakrishna Ashram Marg,28
Blue,Rajiv Chowk,29
Blue,Barakhamba Road,30
Blue,Mandi House,31
Blue,Pragati Maidan,32
Blue,Indraprastha,33
Blue,Yamuna Bank,34
Blue,Akshardham,35
Blue,Mayur Vihar Phase-1,36
Blue,Mayur Vihar Extension,37
Blue,New Ashok Nagar,38
Blue,Noida Sector 15,39
Blue,Noida Sector 16,40
Blue,Noida Sector 18,41
Blue,Botanical Garden,42
Blue,Golf Course,43
Blue,Noida City Centre,44
Blue,Noida Sector 34,45
Blue,Noida Sector 52,46
Blue,Noida Sector 61,47
Blue,Noida Sector 59,48
Blue,Noida Sector 62,49
Blue,Noida Electronic City,50
Green,Inderlok,1
Green,Kirti Nagar,2
Green,Satguru Ramsingh Marg,3
Green,Ashok Park Main,4
Green,Punjabi Bagh,5
Green,Punjabi Bagh West,6
Green,Shivaji Park,7
Green,Madipur,8
Green,Paschim Vihar East,9
Green,Paschim Vihar West,10
Green,Peera Garhi,11
Green,Udyog Nagar,12
Green,Surajmal Stadium,13
Green,Nangloi,14
Green,Nangloi Railway Station,15
Green,Rajdhani Park,16
Green,Mundka,17
Green,Ghevra,18
Green,Tikri Kalan,19
Green,Tikri Border,20
Green,Pandit Shree Ram Sharma,21
Green,Bahadurgarh City,22
Green,Brigadier Hoshiyar Singh,23
Violet,Kashmere Gate,1
Violet,Central Secretariat,2
Violet,Khan Market,3
Violet,Jawaharlal Nehru Stadium,4
Violet,Mandi House,5
Violet,Jangpura,6
Violet,Lajpat Nagar,7
Violet,Moolchand,8
Violet,Kailash Colony,9
Violet,Nehru Place,10
Violet,Greater Kailash,11
Violet,Govind Puri,12
Violet,Harkesh Nagar Okhla,13
Violet,Jasola Apollo,14
Violet,Sarita Vihar,15
Violet,Mohan Estate,16
Violet,Tughlakabad,17
Violet,Badarpur Border,18
Violet,NHPC Chowk,19
Violet,Mewala Maharajpur,20
Violet,Sector 28,21
Violet,Badkhal Mor,22
Violet,Old Faridabad,23
Violet,Neelam Chowk Ajronda,24
Violet,Bata Chowk,25
Violet,Escorts Mujesar,26
Violet,Raja Nahar Singh,27
Orange,New Delhi,1
Orange,Shivaji Stadium,2
Orange,Dhaula Kuan,3
Orange,Delhi Aerocity,4
Orange,Airport T3,5
Orange,Airport T1,6
Orange,Dwarka Sector 21,7
Magenta,Janakpuri West,1
Magenta,Dabri Mor,2
Magenta,Dashrathpuri,3
Magenta,Palam,4
Magenta,Sadar Bazar Cantonment,5
Magenta,Terminal 1 IGI Airport,6
Magenta,Shankar Vihar,7
Magenta,Vasant Vihar,8
Magenta,Munirka,9
Magenta,RK Puram,10
Magenta,IIT Delhi,11
Magenta,Hauz Khas,12
Magenta,Panchsheel Park,13
Magenta,Chirag Delhi,14
Magenta,Greater Kailash,15
Magenta,Nehru Enclave,16
Magenta,Kalkaji Mandir,17
Magenta,Okhla NSIC,18
Magenta,Sukhdev Vihar,19
Magenta,Jamia Millia Islamia,20
Magenta,Okhla Vihar,21
Magenta,Jasola Vihar Shaheen Bagh,22
Magenta,Kalindi Kunj,23
Magenta,Okhla Bird Sanctuary,24
Magenta,Botanical Garden,25
Pink,Majlis Park,1
Pink,Azadpur,2
Pink,Shalimar Bagh,3
Pink,Netaji Subhash Place,4
Pink,Shakurpur,5
Pink,Punjabi Bagh West,6
Pink,ESI Hospital,7
Pink,Rajouri Garden,8
Pink,Maya Puri,9
Pink,Naraina Vihar,10
Pink,Delhi Cantt,11
Pink,Durgabai Deshmukh South Campus,12
Pink,Sir Vishweshwaraiah Moti Bagh,13
Pink,Bhikaji Cama Place,14
Pink,Sarojini Nagar,15
Pink,INA,16
Pink,South Extension,17
Pink,Lajpat Nagar,18
Pink,Vinobapuri,19
Pink,Ashram,20
Pink,Hazrat Nizamuddin,21
Pink,Mayur Vihar Phase-1,22
Pink,Mayur Vihar Pocket 1,23
Pink,Trilokpuri Sanjay Lake,24
Pink,Vinod Nagar East,25
Pink,Mandawali West Vinod Nagar,26
Pink,IP Extension,27
Pink,Anand Vihar,28
Pink,Karkarduma,29
Pink,Karkarduma Court,30
Pink,Krishna Nagar,31
Pink,East Azad Nagar,32
Pink,Welcome,33
Pink,Jaffrabad,34
Pink,Maujpur Babarpur,35
Pink,Gokulpuri,36
Pink,Johri Enclave,37
Pink,Shiv Vihar,38
Grey,Dwarka,1
Grey,Nangli,2
Grey,Najafgarh,3
Grey,Dhansa Bus Stand,4
