ID,Station Name,Distance,Line,Branch,Opened,Layout,Latitude,Longitude,WikiLink
249,Vaishali,0.0,Blue,Vaishali Branch,2011,Elevated,28.649947,77.339711,https://en.wikipedia.org/wiki/Vaishali_metro_station
250,Kaushambi,1.82,Blue,Vaishali Branch,2011,Elevated,28.645523,77.324297,https://en.wikipedia.org/wiki/Kaushambi_metro_station
251,Anand Vihar,2.78,Blue,Vaishali Branch,2010,Elevated,28.646886,77.315878,https://en.wikipedia.org/wiki/Anand_Vihar_metro_station
252,Karkarduma,3.96,Blue,Vaishali Branch,2010,Elevated,28.648539,77.30556,https://en.wikipedia.org/wiki/Karkarduma_metro_station
253,Preet Vihar,5.44,Blue,Vaishali Branch,2010,Elevated,28.6415,77.2951,https://en.wikipedia.org/wiki/Preet_Vihar_metro_station
254,Nirman Vihar,6.57,Blue,Vaishali Branch,2010,Elevated,28.636531,77.286804,https://en.wikipedia.org/wiki/Nirman_Vihar_metro_station
255,Laxmi Nagar,7.85,Blue,Vaishali Branch,2010,Elevated,28.630596,77.277603,https://en.wikipedia.org/wiki/Laxmi_Nagar_metro_station
256,Yamuna Bank,9.28,Blue,Vaishali Branch,2009,Elevated,28.62328,77.26793,https://en.wikipedia.org/wiki/Yamuna_Bank_metro_station
67,Dwarka Sector 21,0.0,Blue,Main,2010,Elevated,28.552349,77.058065,https://en.wikipedia.org/wiki/Dwarka_Sector_21_metro_station
68,Dwarka Sector 8,1.97,Blue,Main,2005,Elevated,28.56562,77.06703,https://en.wikipedia.org/wiki/Dwarka_Sector_8_metro_station
69,Dwarka Sector 9,3.1,Blue,Main,2006,Elevated,28.5743,77.0652,https://en.wikipedia.org/wiki/Dwarka_Sector_9_metro_station
70,Dwarka Sector 10,4.33,Blue,Main,2006,Elevated,28.581099,77.057422,https://en.wikipedia.org/wiki/Dwarka_Sector_10_metro_station
71,Dwarka Sector 11,5.47,Blue,Main,2006,Elevated,28.5865,77.0494,https://en.wikipedia.org/wiki/Dwarka_Sector_11_metro_station
72,Dwarka Sector 12,6.7,Blue,Main,2006,Elevated,28.592303,77.040682,https://en.wikipedia.org/wiki/Dwarka_Sector_12_metro_station
73,Dwarka Sector 13,7.73,Blue,Main,2006,Elevated,28.597124,77.033374,https://en.wikipedia.org/wiki/Dwarka_Sector_13_metro_station
74,Dwarka Sector 14,8.79,Blue,Main,2006,Elevated,28.6023,77.026,https://en.wikipedia.org/wiki/Dwarka_Sector_14_metro_station
75,Dwarka,10.45,Blue,Main,2005,Elevated,28.615,77.0228,https://en.wikipedia.org/wiki/Dwarka_metro_station
76,Dwarka Mor,11.76,Blue,Main,2005,Elevated,28.6193,77.0334,https://en.wikipedia.org/wiki/Dwarka_Mor_metro_station
77,Nawada,13.08,Blue,Main,2005,Elevated,28.6202,77.0451,https://en.wikipedia.org/wiki/Nawada_metro_station
78,Uttam Nagar West,14.29,Blue,Main,2005,Elevated,28.621728,77.055698,https://en.wikipedia.org/wiki/Uttam_Nagar_West_metro_station
79,Uttam Nagar East,15.43,Blue,Main,2005,Elevated,28.624786,77.065207,https://en.wikipedia.org/wiki/Uttam_Nagar_East_metro_station
80,Janakpuri West,17.01,Blue,Main,2005,Elevated,28.6295,77.0782,https://en.wikipedia.org/wiki/Janakpuri_West_metro_station
81,Janakpuri East,18.05,Blue,Main,2005,Elevated,28.633013,77.086593,https://en.wikipedia.org/wiki/Janakpuri_East_metro_station
82,Tilak Nagar,19.24,Blue,Main,2005,Elevated,28.6366,77.0964,https://en.wikipedia.org/wiki/Tilak_Nagar_metro_station
83,Subhash Nagar,20.31,Blue,Main,2005,Elevated,28.6404,77.1049,https://en.wikipedia.org/wiki/Subhash_Nagar_metro_station_(Delhi)
84,Tagore Garden,21.3,Blue,Main,2005,Elevated,28.6437,77.1129,https://en.wikipedia.org/wiki/Tagore_Garden_metro_station
85,Rajouri Garden,22.58,Blue,Main,2005,Elevated,28.649,77.1226,https://en.wikipedia.org/wiki/Rajouri_Garden_metro_station
86,Ramesh Nagar,23.7,Blue,Main,2005,Elevated,28.653,77.1315,https://en.wikipedia.org/wiki/Ramesh_Nagar_metro_station
87,Moti Nagar,25.11,Blue,Main,2005,Elevated,28.6581,77.1426,https://en.wikipedia.org/wiki/Moti_Nagar_metro_station
88,Kirti Nagar,26.18,Blue,Main,2005,Elevated,28.6551,77.1515,https://en.wikipedia.org/wiki/Kirti_Nagar_metro_station
89,Shadipur,27.06,Blue,Main,2005,Elevated,28.651655,77.158249,https://en.wikipedia.org/wiki/Shadipur_metro_station
90,Patel Nagar,28.56,Blue,Main,2005,Underground,28.645,77.1693,https://en.wikipedia.org/wiki/Patel_Nagar_metro_station
91,Rajendra Place,29.63,Blue,Main,2005,Underground,28.6422,77.1783,https://en.wikipedia.org/wiki/Rajendra_Place_metro_station
92,Karol Bagh,30.8,Blue,Main,2005,Underground,28.6439,77.1885,https://en.wikipedia.org/wiki/Karol_Bagh_metro_station
